Date Time,Delta Waves,Theta Waves,Low Alpha Waves,High Alpha Waves,Low Beta Waves,High Beta Waves,Low Gamma Waves,High Gamma Waves,Attention,Meditation,Theta_Beta_Ratio,Alpha_Beta_Ratio,Delta_AB_Ratio,Total_Power,Session_Date,Label
2026-02-11 14:15:55.336,1.0,5.0,14.0,15.0,2.0,1.0,1.0,2.0,51.0,43.0,1.666666111111296,9.666663444445518,0.0312499990234375,41.0,2026-02-11,0
2026-02-11 14:15:56.341,0.0,7.0,12.0,5.0,1.0,0.0,1.0,0.0,48.0,40.0,6.9999930000070005,16.999983000017,0.0,26.0,2026-02-11,1
2026-02-11 14:15:57.348,4.0,19.0,40.0,9.0,2.0,0.0,2.0,1.0,41.0,35.0,9.499995250002376,24.499987750006124,0.0784313710111496,77.0,2026-02-11,1
2026-02-11 14:15:58.360,0.0,11.0,22.0,4.0,1.0,1.0,1.0,2.0,38.0,43.0,5.499997250001375,12.99999350000325,0.0,42.0,2026-02-11,1
2026-02-11 14:15:59.374,4.0,33.0,22.0,6.0,1.0,1.0,1.0,2.0,29.0,29.0,16.499991750004124,13.9999930000035,0.133333328888889,70.0,2026-02-11,1
2026-02-11 14:16:00.390,25.0,5.0,21.0,5.0,0.0,1.0,1.0,1.0,34.0,37.0,4.999995000005001,25.999974000026,0.9259258916323744,59.0,2026-02-11,1
2026-02-11 14:16:01.408,1.0,8.0,4.0,2.0,0.0,0.0,0.0,0.0,40.0,27.0,3000000.0,3000000.0,0.1666666388888935,15.0,2026-02-11,1
2026-02-11 14:16:02.420,3.0,13.0,5.0,1.0,1.0,3.0,1.0,0.0,50.0,11.0,3.2499991875002032,1.4999996250000938,0.299999970000003,27.0,2026-02-11,1
2026-02-11 14:16:03.437,1.0,9.0,8.0,9.0,0.0,1.0,2.0,2.0,56.0,20.0,8.999991000009,16.999983000017,0.0555555524691359,32.0,2026-02-11,1
2026-02-11 14:16:04.447,4.0,12.0,9.0,13.0,1.0,3.0,2.0,1.0,61.0,10.0,2.9999992500001875,5.499998625000344,0.1538461479289943,45.0,2026-02-11,1
2026-02-11 14:16:05.465,4.0,8.0,29.0,17.0,1.0,5.0,1.0,1.0,74.0,21.0,1.3333331111111482,7.666665388889101,0.076923075443787,66.0,2026-02-11,0
2026-02-11 14:16:06.471,0.0,12.0,17.0,6.0,1.0,0.0,1.0,0.0,60.0,37.0,11.999988000012,22.999977000023,0.0,37.0,2026-02-11,1
2026-02-11 14:16:07.507,6.0,7.0,24.0,27.0,1.0,2.0,2.0,1.0,63.0,47.0,2.333332555555814,16.99999433333522,0.1111111090534979,70.0,2026-02-11,1
2026-02-11 14:16:08.511,2.0,31.0,25.0,12.0,0.0,1.0,0.0,5.0,50.0,47.0,30.999969000031,36.999963000037006,0.0526315775623269,76.0,2026-02-11,1
2026-02-11 14:16:09.523,2.0,16.0,25.0,22.0,2.0,1.0,1.0,1.0,38.0,47.0,5.333331555556148,15.666661444446184,0.0399999992,70.0,2026-02-11,1
2026-02-11 16:34:53.296,1.0,9.0,12.0,1.0,9.0,13.0,2.0,4.0,93.0,57.0,0.4090908904958686,0.590909064049588,0.028571427755102,51.0,2026-02-11,0
2026-02-11 16:34:54.311,1.0,19.0,2.0,5.0,19.0,21.0,2.0,2.0,80.0,53.0,0.4749999881250003,0.1749999956250001,0.0212765952919873,71.0,2026-02-11,0
2026-02-11 16:34:55.323,2.0,7.0,21.0,3.0,12.0,11.0,2.0,1.0,77.0,56.0,0.3043478128544429,1.0434782155009472,0.0425531905839746,59.0,2026-02-11,0
2026-02-11 16:34:56.332,1.0,0.0,1.0,1.0,1.0,16.0,4.0,1.0,83.0,57.0,0.0,0.1176470519031145,0.0526315761772854,25.0,2026-02-11,0
2026-02-11 16:34:57.337,0.0,3.0,2.0,3.0,7.0,21.0,2.0,2.0,90.0,57.0,0.1071428533163266,0.1785714221938777,0.0,40.0,2026-02-11,0
2026-02-11 16:34:58.348,3.0,10.0,4.0,6.0,4.0,9.0,1.0,4.0,83.0,64.0,0.7692307100591762,0.7692307100591762,0.1304347769376184,41.0,2026-02-11,0
2026-02-11 16:34:59.350,1.0,8.0,10.0,1.0,7.0,8.0,8.0,1.0,78.0,61.0,0.5333332977777802,0.7333332844444478,0.0384615369822485,44.0,2026-02-11,0
